Ідентифікатор_підрозділу;Посилання_підрозділу;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
70306;https://prom.ua/Shkafy-servernye;"серверный шкаф,  шкаф  серверный, серверный rack, шкаф для серверного оборудования";"серверна шафа, шафа серверна, серверна rack, шафа для серверного обладнання";шкаф серверный;шафа серверна;"Виробник, Тип корпусу, Варіант установки, Тип монтажу, Максимально допустима статичне навантаження, Робоча висота (U), Колір шафи"
70306;https://prom.ua/Shkafy-servernye;"телекоммуникационный шкаф, сетевой шкаф, шкаф для сетевого оборудования, настенный сетевой шкаф, шкаф для видеонаблюдения, телеком шкаф";"телекомунікаційна шафа, мережева шафа, шафа для мережевого обладнання, настінна мережева шафа, шафа для відеоспостереження, телеком шафа";шкаф телекоммуникационный;шафа телекомунікаційна;"Виробник, Тип корпусу, Варіант установки, Тип монтажу, Максимально допустима статичне навантаження, Робоча висота (U), Колір шафи"
70306;https://prom.ua/Shkafy-servernye;"электромонтажный бокс, распределительный щит, электрический щиток, корпус для автоматов, электрощит, монтажный бокс, щит электрический";"електромонтажний бокс, розподільчий щит, електрощит, електричний щиток, корпус для автоматів, монтажний бокс, щит електричний";бокс электромонтажный;бокс електромонтажний;"Виробник, Тип корпусу, Варіант установки, Тип монтажу, Максимально допустима статичне навантаження, Робоча висота (U)"
70306;https://prom.ua/Shkafy-servernye;"антивандальный ящик, антивандальный шкаф, уличный металлический ящик, защитный электрический шкаф, металлический шкаф с замком, защитный бокс";"антивандальний ящик, антивандальна шафа, вуличний металевий ящик, захисна електрична шафа, металева шафа з замком, захисний бокс";антивандальный ящик;антивандальний ящик;"Виробник, Тип корпусу, Варіант установки, Тип монтажу, Максимально допустима статичне навантаження, Робоча висота (U)"
70306;https://prom.ua/Shkafy-servernye;"монтажная стойка, стойка для оборудования, телекоммуникационная стойка, сетевая стойка, rack стойка, монтажный каркас";"монтажна стійка, стійка для обладнання, телекомунікаційна стійка, мережева стійка, rack стійка, монтажний каркас";стойка  монтажная;стійка монтажна;"Виробник, Тип корпусу, Тип стійки, Максимально допустима статичне навантаження, Робоча висота (U)"
70306;https://prom.ua/Shkafy-servernye;"серверная стойка, серверный rack, стойка для серверов, серверный каркас, стойка серверного оборудования, серверная конструкция";"серверна стійка, серверний rack, стійка для серверів, серверний каркас, стійка серверного обладнання, серверна конструкція";стойка серверная;стійка серверна;"Виробник, Тип корпусу, Тип стійки, Максимально допустима статичне навантаження, Робоча висота (U)"
70306;https://prom.ua/Shkafy-servernye;"кронштейн для сервера, настенный кронштейн, кронштейн для серверного шкафа, серверный кронштейн, крепление для сервера, монтаж серверного оборудования, аксессуары для серверных шкафов";"кронштейн для сервера, настінний кронштейн, кронштейн для серверної шафи, серверний кронштейн, кріплення для сервера, монтаж серверного обладнання, аксесуари для серверних шаф";кронштейн;кронштейн;"Виробник, Тип корпусу, Максимально допустима статичне навантаження, Робоча висота (U)"
70306;https://prom.ua/Shkafy-servernye;"поворотная рама для шкафа, рама для серверного шкафа, поворотный модуль для шкафа, серверная рама, монтажная рама для шкафа, аксессуары для серверных шкафов, комплектующие для серверного шкафа";"поворотна рама для шафи, рама для серверної шафи, поворотний модуль для шафи, серверна рама, монтажна рама для шафи, аксесуари для серверних шаф, комплектуючі для серверної шафи";поворотная рама;поворотна рама;"Виробник, Тип корпусу, Максимально допустима статичне навантаження, Робоча висота (U)"
5092902;https://prom.ua/Patch-paneli;"патч панель, patch panel, коммутационная панель,  сетевая патч панель, кросс панель";"патч панель, patch panel , комутаційна панель,  мережева патч панель, крос панель";патч панель;патч панель;"Виробник, Тип, Тип портів, Форм-фактор, Категорія, Кількість портів"
