supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bантивандал.*;;;regex;Тип корпусу;;Антивандальний ящик;1;TRUE;70306;name;
(?i).*\bсерверн.*\bстойк.*;;;regex;Тип корпусу;;Стійка серверна;2;TRUE;70306;name;
(?i).*\bстойк.*;;;regex;Тип корпусу;;Стійка монтажна;3;TRUE;70306;name;
(?i).*\b\d+U.*\b(стекло|акрил).*;;;regex;Тип корпусу;;Шафа серверна;4;TRUE;70306;name;
(?i).*\bклимат.*;;;regex;Тип корпусу;;Шафа серверна;5;TRUE;70306;name;
(?i).*(коммуникац|телекоммуникац).*;;;regex;Тип корпусу;;Шафа телекомунікаційна;6;TRUE;70306;name;
(?i).*\bсерверн.*\bшкаф.*;;;regex;Тип корпусу;;Шафа серверна;7;TRUE;70306;name;
(?i).*(ABS|IP65|IP54|IP31|МП|ЩМП).*;;;regex;Тип корпусу;;Бокс електромонтажний;8;TRUE;70306;name;
(?i).*\b(корпус|щит|бокс|гермокоробк).*;;;regex;Тип корпусу;;Бокс електромонтажний;9;TRUE;70306;name;
(?i).*\bнастен.*;;;regex;Тип монтажу;;Навісний;10;TRUE;70306;name;
(?i).*\bнапольн.*;;;regex;Варіант установки;;Підлоговий;11;TRUE;70306;name;
(?i).*\b19".*;;;regex;Робоча ширина (");;19";12;TRUE;70306;name;
(?i).*\b10".*;;;regex;Робоча ширина (");;10";13;TRUE;70306;name;
;Ширина;"(\d+(?:[.,]\d+)?)\s*мм";regex;Ширина;мм;$1 ;14;TRUE;70306;extract;
;Глубина;"(\d+(?:[.,]\d+)?)\s*мм";regex;Глибина;мм;$1 ;15;TRUE;70306;extract;
;Робоча глибина \(мм\);(\d+);regex;Робоча глибина (мм);;$1 ;16;TRUE;70306;extract;
;"Висота, U";(\d+);regex;Робоча висота (U);;$1U;17;TRUE;70306;extract;
;Конструкция;19";regex;Робоча ширина (");;19";18;TRUE;70306;attribute;
;Конструкция;10";regex;Робоча ширина (");;10";19;TRUE;70306;attribute;
;Вес;([0-9\.]+)\s*г;regex;Вага;г;$1 г;20;TRUE;70306;extract;
;Вес;([0-9\.]+)\s*кг;regex;Вага;г;$1 кг;21;TRUE;70306;extract;
;Вага брутто;(\d+);regex;Вага;г;$1 г;22;TRUE;70306;extract;
;Цвет;.*[Сс]ірий.*;regex;Колір шафи;;Світло-сірий;23;TRUE;70306;attribute;
;Цвет;.*[Сс]ерый.*;regex;Колір шафи;;Світло-сірий;24;TRUE;70306;attribute;
;Цвет;.*[Чч]орний.*;regex;Колір шафи;;Чорний;25;TRUE;70306;attribute;
;Цвет;.*[Чч]ерный.*;regex;Колір шафи;;Чорний;26;TRUE;70306;attribute;
;Колір;.*[Сс]ірий.*;regex;Колір шафи;;Світло-сірий;27;TRUE;70306;attribute;
;Колір;.*[Чч]орний.*;regex;Колір шафи;;Чорний;28;TRUE;70306;attribute;
;Колір шафи;.*[Сс]ірий.*;regex;Колір шафи;;Світло-сірий;29;TRUE;70306;attribute;
;Колір шафи;.*[Чч]орний.*;regex;Колір шафи;;Чорний;30;TRUE;70306;attribute;
;Тип стійки;.*[Оо]днорамна.*;regex;Тип стійки;;Однорамна;31;TRUE;70306;attribute;
;Тип стійки;.*[Дд]ворамна.*;regex;Тип стійки;;Дворамна;32;TRUE;70306;attribute;
;Тип стійки;.*[Сс]ерверна.*;regex;Тип стійки;;Серверна;33;TRUE;70306;attribute;
;Максимальне навантаженя;"(\d+(?:[.,]\d+)?)\s*кг";regex;Максимально допустима статичне навантаження;кг;$1 ;34;TRUE;70306;extract;
;Максимальная нагрузка;"(\d+(?:[.,]\d+)?)\s*кг";regex;Максимально допустима статичне навантаження;кг;$1 ;35;TRUE;70306;extract;
;Степень защиты;IP\s*(\d{2});regex;Ступінь захисту IP;;IP$1;36;TRUE;70306;extract;
;Класс защиты;IP\s*(\d{2});regex;Ступінь захисту IP;;IP$1;37;TRUE;70306;extract;
;Захист;IP\s*(\d{2});regex;Ступінь захисту IP;;IP$1;38;TRUE;70306;extract;
;Конструкція;.*[Зз]бірно-розбірна.*;regex;Конструкція;;Збірно-розбірна;39;TRUE;70306;attribute;
;Конструкція;.*[Сс]уцільнозварна.*;regex;Конструкція;;Суцільнозварна;40;TRUE;70306;attribute;
;Бічні стінки;.*[Зз]німні.*;regex;Бічні стінки;;Знімні;41;TRUE;70306;attribute;
;Боковые стенки;.*[Зз]німні.*;regex;Бічні стінки;;Знімні;42;TRUE;70306;attribute;
;Боковые стенки;.*[Зз]німні.*;regex;Бічні стінки;;Знімні;43;TRUE;70306;attribute;
;Бічні стінки;.*замк.*;regex;Бічні стінки;;З замком;44;TRUE;70306;attribute;
;Боковые стенки;.*замк.*;regex;Бічні стінки;;З замком;45;TRUE;70306;attribute;
;Двери;.*[Зз]агартоване.*скло.*;regex;Передні двері;;Засклена;46;TRUE;70306;attribute;
;Двери;.*акрил.*;regex;Передні двері;;Засклена;47;TRUE;70306;attribute;
;Двери;.*[Пп]ерфор.*;regex;Передні двері;;Перфорована;48;TRUE;70306;attribute;
;Двери;.*[Сс]уцільнометал.*;regex;Передні двері;;Суцільнометалева;49;TRUE;70306;attribute;
;Двери;.*замк.*;regex;Передні двері;;З замком;50;TRUE;70306;attribute;
;Опоры;.*[Рр]егульов.*;regex;Регульовані опори;;Так;51;TRUE;70306;attribute;
;Опори;.*ніжки.*;regex;Регульовані опори;;Так;52;TRUE;70306;attribute;
;Висота без опор;"(\d+(?:[.,]\d+)?)\s*мм";regex;Висота без опор;мм;$1 ;53;TRUE;70306;extract;
;Довжина;"(\d+(?:[.,]\d+)?)\s*мм";regex;Глибина;мм;$1 ;54;TRUE;70306;extract;
;Висота;"(\d+(?:[.,]\d+)?)\s*мм";regex;Висота без опор;мм;$1 ;55;TRUE;70306;extract;
;Розміри \(ВxШxГ\);"(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*мм";regex;Ширина;мм;$2 ;56;TRUE;70306;extract;
;Розміри \(ВxШxГ\);"(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*мм";regex;Глибина;мм;$3 ;57;TRUE;70306;extract;
;Розміри \(ВxШxГ\);"(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*мм";regex;Висота без опор;мм;$1 ;58;TRUE;70306;extract;
;Размер;"(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*мм";regex;Ширина;мм;$2 ;59;TRUE;70306;extract;
;Размер;"(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*мм";regex;Глибина;мм;$3 ;60;TRUE;70306;extract;
;Размер;"(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*[xXх×]\s*(\d+(?:[.,]\d+)?)\s*мм";regex;Висота без опор;мм;$1 ;61;TRUE;70306;extract;
;"Ширина, мм";"(\d+(?:[.,]\d+)?)";regex;Ширина;мм;$1 ;62;TRUE;70306;extract;
;"Глибина, мм";"(\d+(?:[.,]\d+)?)";regex;Глибина;мм;$1 ;63;TRUE;70306;extract;
;"Висота, мм";"(\d+(?:[.,]\d+)?)";regex;Висота без опор;мм;$1 ;64;TRUE;70306;extract;
